,book_id,goodreads_book_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,category
24,25,136251,263,0-545010225,9780545010220.0,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",eng,4.61,1746574,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,https://images.gr-assets.com/books/1474171184s/136251.jpg,['other']
25,26,968,350,0-307277674,9780307277670.0,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",eng,3.79,1447148,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,https://images.gr-assets.com/books/1303252999s/968.jpg,['other']
26,27,1,275,0-439785960,9780439785970.0,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",eng,4.54,1678823,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,https://images.gr-assets.com/books/1361039191s/1.jpg,['other']
27,28,7624,458,0-140283331,9780140283330.0,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,eng,3.64,1605019,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,https://images.gr-assets.com/books/1327869409s/7624.jpg,['other']
28,29,18135,1937,0-743477111,9780743477120.0,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,eng,3.73,1628519,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,https://images.gr-assets.com/books/1327872146s/18135.jpg,['other']
29,30,8442457,196,0-297859382,9780297859380.0,Gillian Flynn,2012.0,Gone Girl,Gone Girl,eng,4.03,512475,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,https://images.gr-assets.com/books/1339602131s/8442457.jpg,['other']
30,31,4667024,183,0-399155341,9780399155340.0,Kathryn Stockett,2009.0,The Help,The Help,eng,4.45,1531753,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,https://images.gr-assets.com/books/1346100365s/4667024.jpg,['other']
31,32,890,373,0-142000671,9780142000670.0,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,eng,3.84,1467496,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,https://images.gr-assets.com/books/1437235233s/890.jpg,['other']
32,33,930,220,0-739326228,9780739326220.0,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,eng,4.08,1300209,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,['other']
33,34,10818853,169,1612130291,9781612130290.0,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",eng,3.67,1338493,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,https://images.gr-assets.com/books/1385207843s/10818853.jpg,"['Contemporary', 'Contemporary Women', 'General', 'Adult', 'Erotica', 'English & College Success -> English -> Fiction']"
34,35,865,458,0-061122416,9780061122420.0,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,eng,3.82,1299566,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,https://images.gr-assets.com/books/1483412266s/865.jpg,['other']
35,36,3636,192,0-385732554,9780385732550.0,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",eng,4.12,1296825,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,https://images.gr-assets.com/books/1342493368s/3636.jpg,['other']
36,37,100915,474,0-060764899,9780060764890.0,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",eng,4.19,1531800,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,https://images.gr-assets.com/books/1353029077s/100915.jpg,['other']
37,38,14050,167,0-965818675,9780965818670.0,Audrey Niffenegger,2003.0,The Time Traveler's Wife,The Time Traveler's Wife,eng,3.95,746287,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,https://images.gr-assets.com/books/1437728815s/14050.jpg,['other']
38,39,13496,101,0-553588486,9780553588480.0,George R.R. Martin,1996.0,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",eng,4.45,1319204,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,https://images.gr-assets.com/books/1436732693s/13496.jpg,['other']
39,40,19501,185,0-143038419,9780143038410.0,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",eng,3.51,1181647,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,https://images.gr-assets.com/books/1503066414s/19501.jpg,['other']
40,41,28187,159,0-786838655,9780786838650.0,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",eng,4.23,1366265,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,https://images.gr-assets.com/books/1400602609s/28187.jpg,
41,42,1934,1707,0-451529308,9780451529300.0,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",en-US,4.04,1257121,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,['other']
42,43,10210,2568,0-142437204,9780142437210.0,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,eng,4.1,1198557,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,https://images.gr-assets.com/books/1327867269s/10210.jpg,['other']
43,44,15931,190,0-553816713,9780553816720.0,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",eng,4.06,1053403,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,https://images.gr-assets.com/books/1385738917s/15931.jpg,['other']
44,45,4214,264,0-770430074,9780770430080.0,Yann Martel,2001.0,Life of Pi,Life of Pi,,3.88,1003228,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,https://images.gr-assets.com/books/1320562005s/4214.jpg,['other']
45,46,43641,128,1565125606,9781565125600.0,Sara Gruen,2006.0,Water for Elephants,Water for Elephants,eng,4.07,1068146,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,https://images.gr-assets.com/books/1494428973s/43641.jpg,"['Depressions', 'Circus', 'Fiction', 'Circus performers', 'Fiction, romance, historical', 'Fiction, historical', 'Literature', 'Great Depression, 1929-1939', 'Historical fiction', 'Love stories']"
46,47,19063,251,0-375831002,9780375831000.0,Markus Zusak,2005.0,The Book Thief,The Book Thief,eng,4.36,1159741,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,https://images.gr-assets.com/books/1390053681s/19063.jpg,['other']
47,48,4381,507,0-307347974,9780307347980.0,Ray Bradbury,1953.0,Fahrenheit 451,Fahrenheit 451,spa,3.97,570498,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,https://images.gr-assets.com/books/1351643740s/4381.jpg,['other']
48,49,49041,194,0-316160199,9780316160190.0,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",eng,3.52,1149630,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,https://images.gr-assets.com/books/1361039440s/49041.jpg,['other']
49,50,30119,45,0-060513039,9780060513030.0,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,eng,4.29,1016888,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,https://images.gr-assets.com/books/1168052448s/30119.jpg,['other']
50,51,256683,178,1416914285,9781416914280.0,Cassandra Clare,2007.0,City of Bones,"City of Bones (The Mortal Instruments, #1)",eng,4.12,1154031,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,https://images.gr-assets.com/books/1432730315s/256683.jpg,
51,52,428263,185,0-316160202,9780316160210.0,Stephenie Meyer,2007.0,Eclipse,"Eclipse (Twilight, #3)",en-US,3.69,1134511,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,https://images.gr-assets.com/books/1361038355s/428263.jpg,['other']
52,53,113436,217,0-375826696,9780375826700.0,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",en-US,3.86,1104021,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,https://images.gr-assets.com/books/1366212852s/113436.jpg,['other']
53,54,11,257,0-345391802,9780345391800.0,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",en-US,4.2,936782,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,https://images.gr-assets.com/books/1327656754s/11.jpg,['other']
54,55,5129,515,0-060929871,9780060929880.0,Aldous Huxley,1932.0,Brave New World,Brave New World,eng,3.97,1022601,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,https://images.gr-assets.com/books/1487389574s/5129.jpg,['other']
55,56,1162543,183,031606792X,9780316067930.0,Stephenie Meyer,2008.0,Breaking Dawn,"Breaking Dawn (Twilight, #4)",en-US,3.7,1070245,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,https://images.gr-assets.com/books/1361039438s/1162543.jpg,"[""Children's Fiction"", 'Love & Romance']"
56,57,37435,125,0-142001740,9780142001740.0,Sue Monk Kidd,2001.0,The Secret Life of Bees,The Secret Life of Bees,en-US,4.01,916189,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,https://images.gr-assets.com/books/1473454532s/37435.jpg,['other']
57,58,2956,2277,0-142437174,9780142437180.0,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,eng,3.8,953758,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,https://images.gr-assets.com/books/1405973850s/2956.jpg,['other']
58,59,24178,180,0-064410935,9780064410940.0,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,Charlotte's Web,eng,4.15,1064521,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,https://images.gr-assets.com/books/1439632243s/24178.jpg,['other']
59,60,1618,183,1400032717,9781400032720.0,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,eng,3.85,867553,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,https://images.gr-assets.com/books/1479863624s/1618.jpg,"['Literature', 'Autism', 'Fiction', 'Patients', ""Asperger's syndrome"", 'open_syllabus_project', 'Dogs', 'Savants (Savant syndrome)', 'Reading Level-Grade 11', 'Reading Level-Grade 12', 'Mutterentbehrung', 'Tötung', 'Alltag', 'Aufklärung', 'Männliche Jugend', 'Asperger-Syndrom', 'Konflikt', 'England, fiction', 'Fiction, mystery & detective, general', 'Mystery & Detective', 'JUVENILE FICTION', 'General', 'Young adult fiction', ""Children's fiction"", 'Mystery and detective stories', 'Puzzles', 'Autistic Disorder', 'Roman pour la jeunesse anglophone', 'Autistic youth', 'Fictional Works Publication Type', 'Autism in children', 'Skönlitteratur', 'Aspergers syndrom', 'Juvenile fiction']"
60,61,22557272,14,1594633665,9781594633670.0,Paula Hawkins,2015.0,The Girl on the Train,The Girl on the Train,eng,3.88,1008778,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,https://images.gr-assets.com/books/1490903702s/22557272.jpg,"['Railroad travel', 'Railroad travel--Fiction', 'Commuters', 'Commuters--Fiction', 'Strangers', 'Strangers--Fiction', 'PR6108.A963 G57 2015', '823/.92']"
61,62,119322,287,0-679879242,9780679879240.0,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",eng,3.94,953970,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,https://images.gr-assets.com/books/1451271747s/119322.jpg,['other']
62,63,6185,2498,0-393978893,9780393978900.0,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,eng,3.82,899195,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,['other']
63,64,10917,125,0-743454537,9780743454540.0,Jodi Picoult,2004.0,My Sister's Keeper,My Sister's Keeper,eng,4.06,863879,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,https://images.gr-assets.com/books/1369504683s/10917.jpg,['other']
64,65,4981,241,0-385333846,9780385333850.0,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,eng,4.06,846488,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,https://images.gr-assets.com/books/1440319389s/4981.jpg,['other']
65,66,18405,409,0-446675539,9780446675540.0,Margaret Mitchell,1936.0,Gone with the Wind,Gone with the Wind,eng,4.28,873981,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,https://images.gr-assets.com/books/1328025229s/18405.jpg,['other']
66,67,128029,197,1594489505,9781594489500.0,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,eng,4.34,818742,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,https://images.gr-assets.com/books/1345958969s/128029.jpg,
67,68,22628,128,0-671027344,9780671027350.0,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,The Perks of Being a Wallflower,eng,4.21,888806,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,https://images.gr-assets.com/books/1167352178s/22628.jpg,['other']
68,69,11735983,164,0-007442912,9780007442910.0,Veronica Roth,2012.0,Insurgent,"Insurgent (Divergent, #2)",eng,4.07,836362,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,https://images.gr-assets.com/books/1325667729s/11735983.jpg,['other']
69,70,375802,224,0-812550706,9780812550700.0,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",eng,4.3,813439,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,https://images.gr-assets.com/books/1408303130s/375802.jpg,['other']
70,71,18490,2618,0-141439475,9780141439470.0,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,eng,3.75,808589,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,https://images.gr-assets.com/books/1381512375s/18490.jpg,['other']
71,72,11588,289,0-450040186,9780450040180.0,Stephen King,1977.0,The Shining,The Shining (The Shining #1),eng,4.17,791850,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,https://images.gr-assets.com/books/1353277730s/11588.jpg,['other']
72,73,1656001,161,0-316068047,9780316068050.0,Stephenie Meyer,2008.0,The Host,"The Host (The Host, #1)",en-US,3.84,749780,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,https://images.gr-assets.com/books/1318009171s/1656001.jpg,['other']
73,74,99561,187,0-142402516,9780142402510.0,John Green,2005.0,Looking for Alaska,Looking for Alaska,eng,4.09,783470,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,https://images.gr-assets.com/books/1394798630s/99561.jpg,['other']
74,75,227443,193,014028009X,9780140280100.0,Helen Fielding,1996.0,,"Bridget Jones's Diary (Bridget Jones, #1)",eng,3.75,736498,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,https://images.gr-assets.com/books/1292060045s/227443.jpg,"['Self-Help', 'General']"
75,76,14935,1969,0-141439661,9780141439660.0,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,Sense and Sensibility,eng,4.06,738894,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,https://images.gr-assets.com/books/1397245675s/14935.jpg,['other']
76,77,38709,138,0-439244196,9780439244190.0,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",eng,3.93,747445,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,https://images.gr-assets.com/books/1327781893s/38709.jpg,['other']
77,78,5139,129,0-307275558,9780307275550.0,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",eng,3.7,665930,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,['other']
78,79,1381,1703,0-143039954,9780143039950.0,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,eng,3.73,670326,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,https://images.gr-assets.com/books/1390173285s/1381.jpg,['other']
79,80,157993,1708,0-156012197,9780156012200.0,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,The Little Prince,eng,4.28,738757,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,https://images.gr-assets.com/books/1367545443s/157993.jpg,['other']
80,81,7445,92,074324754X,9780743247540.0,Jeannette Walls,2005.0,The Glass Castle,The Glass Castle,eng,4.24,621099,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,https://images.gr-assets.com/books/1400930557s/7445.jpg,"['Social Work & Human Services', 'General & Miscellaneous Biography', 'United States Studies', 'Family Memoirs - Biography', 'Public Affairs & Policies', 'Patient Narratives', 'Social Problems']"
81,82,1845,108,0-385486804,9780385486800.0,Jon Krakauer,1996.0,Into the Wild,Into the Wild,eng,3.94,647684,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,https://images.gr-assets.com/books/1403173986s/1845.jpg,['other']
82,83,1953,525,0-141439602,9780141439600.0,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,eng,3.81,637412,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,https://images.gr-assets.com/books/1344922523s/1953.jpg,['other']
